NDVI,QA,TIMEOFDAY,date
1496.0767669531995,992.0950196592398,454.0,2014-01-01
4141.47206303725,841.0057190515907,436.0,2014-01-02
6755.1784861509095,72.9150482544978,418.0,2014-01-03
6095.105231254167,400.091683545812,536.0,2014-01-04
3609.427835364005,907.0904325032769,518.0,2014-01-05
388.0670424925743,1035.4294054569289,500.0,2014-01-06
4098.727496613716,772.7260216847375,442.0,2014-01-07
6321.977281123013,357.7825568926487,486.56039896564454,2014-01-08
2049.6762713951475,933.9568092458004,542.0,2014-01-09
312.30751045644655,1303.2940545692848,524.0,2014-01-10
1090.0780141843968,1382.8650661265344,506.0,2014-01-11
321.1098381523914,1576.6799714047427,448.0,2014-01-12
163.9976719197708,1379.488978910998,430.0,2014-01-13
300.4777736731929,1232.452162516383,456.1859376924022,2014-01-14
694.1437837182515,1733.8852615274639,530.0,2014-01-15
549.9397466205976,1387.5699988085312,512.0,2014-01-16
759.4259789875836,1596.538424877875,454.0,2014-01-17
1536.1186703205055,1783.0252591445258,436.0,2014-01-18
367.5007135322949,1241.6585249612772,483.9703418750387,2014-01-19
712.9318290353393,1249.704634814727,536.0,2014-01-20
1458.1090501303265,1501.1703800786377,518.0,2014-01-21
1215.5153414517665,1397.8514238055527,500.0,2014-01-22
2232.4579620537065,1021.1551292743958,442.0,2014-01-23
3895.8998925501437,960.916775884666,516.727435530086,2014-01-24
3919.247438928289,804.2032646252832,546.9559313814633,2014-01-25
4203.910756924547,652.6080066722269,524.0,2014-01-26
2393.4810171919776,1039.4285714285713,506.0,2014-01-27
363.1239379386775,1114.4724174907665,448.0,2014-01-28
1233.6128993150269,1024.4787322768977,430.0,2014-01-29
655.3961950498705,1067.2554509710474,473.02450437138265,2014-01-30
4735.701885191246,589.6292743953296,530.0,2014-01-31
2613.605746499363,1164.122721315382,512.0,2014-02-01
5669.178577923258,739.7508638150842,454.0,2014-02-02
4755.170212765955,730.3015012510427,436.0,2014-02-03
3058.4717221312967,962.4930299058741,533.993695823483,2014-02-04
237.7175840413742,1036.0370546884315,536.9375076960964,2014-02-05
5594.868521549372,385.09668771595386,518.0,2014-02-06
4243.302176153237,677.0051233170502,500.0,2014-02-07
3515.635812571982,961.1773501727633,442.0,2014-02-08
4489.027340019102,1054.1802096985584,580.7620582617003,2014-02-09
3472.7169890162363,1659.7365661861081,548.0,2014-02-10
4816.8376431473935,609.6086024067678,524.0,2014-02-11
3575.621810026065,917.8645299654474,506.0,2014-02-12
6436.5650071633245,139.86679375670204,448.0,2014-02-13
5029.818391222648,793.9404265459316,430.0,2014-02-14
3646.036325575668,938.4715238889552,528.4886097771209,2014-02-15
481.2927805055465,1035.5509353032294,530.0,2014-02-16
2827.767729226361,900.4670558799,512.0,2014-02-17
4708.7390434624485,593.5389014655074,454.0,2014-02-18
4677.900012313754,695.8794829024189,436.0,2014-02-19
204.18690305635153,1035.0512331704995,466.50943170964683,2014-02-20
441.42159180457037,1035.5509353032294,542.0,2014-02-21
856.6574737344795,1035.0788156797337,518.0,2014-02-22
679.9963023580043,1034.569760514715,500.0,2014-02-23
3213.142147057041,957.9457285833437,442.0,2014-02-24
2401.38787765059,967.841713332539,566.1323575405016,2014-02-25
856.9755713159968,1076.0115572500897,548.0,2014-02-26
486.66108989513236,1203.5422971523892,524.0,2014-02-27
2023.1874280172153,1140.0471226021689,506.0,2014-02-28
5998.475541007455,191.24687239366142,448.0,2014-03-01
5949.700811843362,251.61068747766,430.0,2014-03-02
4040.3230668414167,915.7497914929112,488.972357917312,2014-03-03
3918.673940716493,1206.7675443822234,536.0,2014-03-04
4626.381404633718,607.4023591087813,512.0,2014-03-05
1603.4710553433952,1013.3987847015374,454.0,2014-03-06
3266.668788264532,936.2734421541761,436.0,2014-03-07
5058.6535339064,543.4666984391757,561.1055396370583,2014-03-08
4583.544644480814,577.1568569045635,542.0,2014-03-09
423.328908286355,1035.5509353032294,518.0,2014-03-10
1306.3090377268384,1035.1230787561067,500.0,2014-03-11
2966.777160936007,989.2770165614205,442.0,2014-03-12
4478.494817239497,884.0956153937808,503.090622537431,2014-03-13
2778.387356733525,996.7397235791734,548.0,2014-03-14
3224.856052210317,932.5328249731921,526.3667651767023,2014-03-15
2427.6898830090317,991.704873108543,506.0,2014-03-16
4277.876765472511,613.0487310854287,430.0,2014-03-18
5095.683167097647,197.09924937447875,421.40721586011546,2014-03-19
5870.26538158453,139.69283927082097,536.0,2014-03-20
600.5416666666666,1037.8576790182303,512.0,2014-03-21
1342.4640639923591,1078.8356964136788,454.0,2014-03-22
557.0796919770773,1035.0648159180273,436.0,2014-03-23
1687.8253902061244,1015.4063505302042,492.55212677231043,2014-03-24
24.46760016972783,1545.431073513643,542.0,2014-03-25
3012.7211008062063,795.9466221851544,524.0,2014-03-26
2017.2444686912775,1037.9788514238057,500.0,2014-03-27
3665.2201528175747,651.4320266889079,442.0,2014-03-28
4769.572409264566,820.6384487072561,453.12738777459407,2014-03-29
2804.4946353882524,945.904861193852,548.0,2014-03-30
5331.008434921807,197.9311330870964,530.0,2014-03-31
2996.4504536771724,750.8763850828072,506.0,2014-04-01
4165.821752626553,654.0937090432506,448.0,2014-04-02
4217.626193887298,514.5767901822945,430.0,2014-04-03
3204.5462631327596,1014.9478136542364,456.5784383954154,2014-04-04
1903.9665999878764,1005.5011914690815,536.0,2014-04-05
401.1881554221979,1035.5545097104734,518.0,2014-04-06
867.8088743407891,1182.7369832002867,454.0,2014-04-07
1681.4033199013656,1047.8011438103188,436.0,2014-04-08
4611.970928844317,660.1215298463006,548.5463228271252,2014-04-09
3601.6659278413986,845.0016084832598,542.0,2014-04-10
1294.084742680487,1042.9568688192549,524.0,2014-04-11
2863.7370430987457,839.8874061718099,505.5947141904586,2014-04-12
3156.4454500677243,873.3421303467176,442.0,2014-04-13
4231.316481784565,959.2643869891577,468.9787234042553,2014-04-14
1930.5399769655085,1015.604908852616,548.0,2014-04-15
2181.798770296084,1498.9874300011923,530.0,2014-04-16
3769.541248806114,946.3735851304662,512.0,2014-04-17
4428.633419529613,688.171273680448,448.0,2014-04-18
4255.910517957489,1006.0462885738118,430.0,2014-04-19
5006.833810888253,851.8727511021091,445.1265520534861,2014-04-20
3323.241165234002,994.3362325747648,536.0,2014-04-21
5052.344486876402,340.3126414869534,518.0,2014-04-22
3687.452809601745,748.4600262123199,500.0,2014-04-23
4071.989876947323,842.7472894078402,436.0,2014-04-24
4797.233763132761,759.042297152389,531.315425023878,2014-04-25
3336.803041497352,1165.8003097819612,542.0,2014-04-26
3945.073104200764,841.1428571428575,524.0,2014-04-27
4740.749712068861,417.7390682711784,506.0,2014-04-28
2417.936776383585,1004.1575122125585,442.0,2014-04-29
3079.6497968230506,1019.4235672584301,459.8912695480851,2014-04-30
3040.2246895893036,1032.0147146431552,548.0,2014-05-01
3427.715040550502,728.3672107708808,530.0,2014-05-02
3421.4094436485207,641.0110806624568,512.0,2014-05-03
3046.442625931988,836.3032884546648,454.0,2014-05-04
5014.766714422159,567.474860002383,430.0,2014-05-05
3696.9650905060935,836.419397116645,494.4442802610513,2014-05-06
3888.0308619866296,661.9474562135116,536.0,2014-05-07
4437.131175365219,845.641784820684,518.0,2014-05-08
4439.626598775534,363.51483379006316,500.0,2014-05-09
1283.6537552282232,1803.5509353032294,436.0,2014-05-10
4753.392012893983,1084.804122483022,590.9065186246419,2014-05-11
5108.745832575619,417.4296437507447,542.0,2014-05-12
5364.158392434989,215.1812224472775,524.0,2014-05-13
4851.531551191124,939.853508876445,506.0,2014-05-14
4947.777817574022,446.1797926843799,448.0,2014-05-15
2782.528593600764,1190.1147980459907,463.4920009551099,2014-05-16
4494.877553494573,1590.1333849636608,548.0,2014-05-17
4481.948961318051,520.2951864649111,530.0,2014-05-18
4492.445200573066,445.9032527105922,512.0,2014-05-19
5547.0435768863435,149.66221851542954,454.0,2014-05-20
4502.711462690186,784.9274991063985,430.0,2014-05-21
5743.253864338969,275.42487787441917,511.07377098866465,2014-05-22
3705.9805419167114,1353.541165256762,536.0,2014-05-23
3426.6675759228942,779.3234838555942,518.0,2014-05-24
4433.578915950336,379.9793875848922,500.0,2014-05-25
5163.8633788942225,527.2819611581081,442.0,2014-05-26
4760.687518942836,911.0173954485886,477.55240346729715,2014-05-27
5099.239440955548,537.6172405576075,542.0,2014-05-28
