date,BHA,BSA,WSA,station
2014-01-01,0.05124420597842742,49.626007078998235,52.86240487785641,Tuguegarao
2014-01-02,0.05120238496913526,49.61364127275916,52.79112866551091,Tuguegarao
2014-01-03,0.051213657452106764,49.619869824076446,52.8074450801366,Tuguegarao
2014-01-04,0.051214363066631394,49.59619244454642,52.83253368871596,Tuguegarao
2014-01-05,0.05122701957902351,49.5974562514656,52.85658290658118,Tuguegarao
2014-01-06,0.05124605617078422,49.603816972556565,52.8882953690116,Tuguegarao
2014-01-07,0.05127503858272385,49.64323580274556,52.906841362701876,Tuguegarao
2014-01-08,0.05129944313490388,49.65217567132419,52.9467105984834,Tuguegarao
2014-01-09,0.051007147239248346,49.34295368645611,52.6713407920405,Tuguegarao
2014-01-10,0.051020247525928715,49.34834803259701,52.69214701926032,Tuguegarao
2014-01-11,0.050862465688168546,49.184772120890905,52.54015925544591,Tuguegarao
2014-01-12,0.05388238363081238,52.115256085171765,55.64951117645279,Tuguegarao
2014-01-13,0.0559348814401277,54.11850272894354,57.751260151311165,Tuguegarao
2014-01-14,0.05841285075908112,56.55874442979561,60.26695708836646,Tuguegarao
2014-01-15,0.05833127708687906,56.46746017773085,60.195093996027104,Tuguegarao
2014-01-16,0.062320399123221674,60.32624634548611,64.31455190095694,Tuguegarao
2014-01-17,0.05626768112727135,54.48964642567802,58.04571582886462,Tuguegarao
2014-01-18,0.06152358938467625,59.43761028769226,63.60956848166014,Tuguegarao
2014-01-19,0.0591798154225821,57.11300349214958,61.24662735301474,Tuguegarao
2014-01-20,0.05902594863385723,56.94104971375399,61.11084755396051,Tuguegarao
2014-01-21,0.059006914364552174,56.90624298135848,61.107585747746064,Tuguegarao
2014-01-22,0.05897209875142654,56.855605631414186,61.08859187143916,Tuguegarao
2014-01-23,0.059818594679384544,57.657689390470395,61.97949996829891,Tuguegarao
2014-01-24,0.05955372298885768,57.378010396036984,61.72943558167846,Tuguegarao
2014-01-25,0.059579267815860815,57.38333809284105,61.77519753888071,Tuguegarao
2014-01-26,0.059286073287887826,57.068085253257365,61.50406132251846,Tuguegarao
2014-01-27,0.057156676997503146,54.83463945627027,59.47871453873588,Tuguegarao
2014-01-28,0.05711033367258882,54.76620067742277,59.45446666775479,Tuguegarao
2014-01-29,0.057095897164697026,54.73743634421421,59.454357985179804,Tuguegarao
2014-01-30,0.0564584572294196,53.803807844703506,59.11310661413573,Tuguegarao
2014-01-31,0.056432110137193764,53.70450898333877,59.15971129104917,Tuguegarao
2014-02-01,0.056488733100160796,53.67593225914712,59.30153394117499,Tuguegarao
2014-02-02,0.05644838011337113,53.61618471657409,59.28057551016862,Tuguegarao
2014-02-03,0.057756091789106984,54.953321056071395,60.55886252214244,Tuguegarao
2014-02-04,0.05795625972745698,55.1469744092537,60.76554504566049,Tuguegarao
2014-02-05,0.057679893896175435,54.884164033546,60.47562375880511,Tuguegarao
2014-02-06,0.05750690612649894,54.737569771681585,60.276242481316444,Tuguegarao
2014-02-07,0.057556616951464974,54.785699416937824,60.327534485992274,Tuguegarao
2014-02-08,0.05748369407581368,54.77885858273101,60.1885295688967,Tuguegarao
2014-02-09,0.057379959666930186,54.67925216410352,60.08066716975689,Tuguegarao
2014-02-10,0.057145307114301803,54.51677319542511,59.773841033178826,Tuguegarao
2014-02-11,0.05806706758004082,55.25223378518407,60.881901374898256,Tuguegarao
2014-02-12,0.058485801307059805,55.61415513803393,61.357447476086094,Tuguegarao
2014-02-13,0.058548868033411895,55.656869646565646,61.44086642025849,Tuguegarao
2014-02-14,0.05856344391790011,55.63559231565411,61.49129552014664,Tuguegarao
2014-02-15,0.0596746532057818,56.69712384562561,62.65218256593857,Tuguegarao
2014-02-16,0.05999962671365249,56.96290424593028,63.03634918137495,Tuguegarao
2014-02-17,0.06007960049702306,57.14951976458539,63.00968122946097,Tuguegarao
2014-02-18,0.060152197063226075,57.183572824953124,63.12082130149921,Tuguegarao
2014-02-19,0.060018854805662054,57.01019322155444,63.0275163897697,Tuguegarao
2014-02-20,0.059996810748721145,56.966434957585825,63.02718653985614,Tuguegarao
2014-02-21,0.06014891075752808,57.129694770626436,63.16812674442992,Tuguegarao
2014-02-22,0.061665641524926026,58.30370764238987,65.02757540746248,Tuguegarao
2014-02-23,0.061848791247048056,58.395545475411346,65.30203701868498,Tuguegarao
2014-02-24,0.061941249384468045,58.5132767446315,65.36922202430502,Tuguegarao
2014-02-25,0.06193970124821352,58.48578872535758,65.39361377106998,Tuguegarao
2014-02-26,0.06162434956200556,58.44726376998294,64.80143535402821,Tuguegarao
2014-02-27,0.061899682010359024,58.68107413024553,65.11828989047251,Tuguegarao
2014-02-28,0.06226062273912558,59.09203386374482,65.42921161450637,Tuguegarao
2014-03-01,0.06316540333621948,59.95766148290347,66.37314518953558,Tuguegarao
2014-03-02,0.06333163399981717,60.13056725591278,66.53270074372166,Tuguegarao
2014-03-03,0.06334601593850567,60.13065045084466,66.5613814261666,Tuguegarao
2014-03-04,0.06336488732222213,60.13140793556399,66.59836670888043,Tuguegarao
2014-03-05,0.06324938264500257,60.096715866665754,66.40204942333963,Tuguegarao
2014-03-06,0.06310510343663861,59.97404373903919,66.23616313423851,Tuguegarao
2014-03-07,0.06305273566927466,59.94071378885981,66.16475754968991,Tuguegarao
2014-03-08,0.06308437912881693,59.95542935581198,66.2133289018222,Tuguegarao
2014-03-09,0.06307925995002478,59.96233294893547,66.1961869511143,Tuguegarao
2014-03-10,0.06467355498826523,61.43231261515208,67.91479736137818,Tuguegarao
