date,BHA,BSA,WSA,station
2014-01-01,0.13167973846584302,126.57229004373627,136.78718688794967,Virac
2014-01-02,0.13162060153368235,126.49248451393468,136.74871855343014,Virac
2014-01-03,0.13159467067130767,126.47188675546415,136.71745458715088,Virac
2014-01-04,0.13168661504301354,126.55649033544215,136.81673975058484,Virac
2014-01-05,0.13162260049747873,126.45786174934034,136.78733924561678,Virac
2014-01-06,0.13159130962371574,126.3875305253767,136.79508872205463,Virac
2014-01-07,0.13158392645651001,126.37600414713238,136.79184876588755,Virac
2014-01-08,0.13156330566203214,126.32647977197638,136.8001315520878,Virac
2014-01-09,0.13122895995064526,126.0784638321937,136.3794560690967,Virac
2014-01-10,0.1312029715695851,126.04150943396228,136.36443370520794,Virac
2014-01-11,0.13222514071294575,126.87992495309568,137.5703564727955,Virac
2014-01-12,0.1321998123827393,126.83302063789868,137.56660412757975,Virac
2014-01-13,0.13147888726750523,125.85164338822875,137.10613114678156,Virac
2014-01-14,0.13075796215227115,124.87026613855882,136.64565816598338,Virac
2014-01-15,0.13003703703703706,123.88888888888889,136.1851851851852,Virac
2014-01-16,0.11830423280423281,111.80158730158729,124.8068783068783,Virac
2014-01-17,0.10657142857142857,99.71428571428571,113.42857142857143,Virac
2014-01-18,0.13941153128250425,132.87304617927418,145.95001638573441,Virac
2014-01-19,0.13942730433295808,132.8585127452517,145.99609592066454,Virac
2014-01-20,0.12957043067208437,123.65086868417266,135.4899926599963,Virac
2014-01-21,0.12954644747331764,123.58997123701893,135.50292370961682,Virac
2014-01-22,0.1285123372225175,122.77043352479497,134.25424092024042,Virac
2014-01-23,0.1201405958061483,114.76790794137,125.51328367092637,Virac
2014-01-24,0.12010603528133874,114.69601068802749,125.51605987464976,Virac
2014-01-25,0.12011077229087583,114.66304935351667,125.55849522823536,Virac
2014-01-26,0.12055248321534195,115.0448283311729,126.06013809951143,Virac
2014-01-27,0.1050150569240035,100.27196224483988,109.75815160316694,Virac
2014-01-28,0.10487993599115411,100.11410322843311,109.6457687538747,Virac
2014-01-29,0.10159059648857224,97.00086494405132,106.1803280330927,Virac
2014-01-30,0.10052664596174853,95.87948364469933,105.173808278798,Virac
2014-01-31,0.09995864582959225,95.3518513767963,104.56544028238814,Virac
2014-02-01,0.09717769953051653,92.69097613458527,101.66442292644753,Virac
2014-02-02,0.09711554409474275,92.61028240618293,101.62080578330244,Virac
2014-02-03,0.09685633681300963,92.33082115042487,101.38185247559457,Virac
2014-02-04,0.096835637065676,92.2774510705233,101.3938230608288,Virac
2014-02-05,0.0969114128129427,92.33501164648683,101.4878139793988,Virac
2014-02-06,0.09683967947471982,92.24206148163015,101.43729746780991,Virac
2014-02-07,0.09493147714660911,90.40554681770287,99.45740747551535,Virac
2014-02-08,0.08975372971334336,85.35779348965109,94.1496659370353,Virac
2014-02-09,0.08928585937257744,84.92025777241315,93.6514609727414,Virac
2014-02-10,0.08906923431319672,84.68835850413522,93.4501101222582,Virac
2014-02-11,0.08828960711839674,83.9404173907137,92.6387968460794,Virac
2014-02-12,0.09414851296316544,89.46368987949732,98.83333604683348,Virac
2014-02-13,0.09416331905853892,89.44862296956873,98.87801514750946,Virac
2014-02-14,0.09576659621354493,90.92799851087725,100.60519391621287,Virac
2014-02-15,0.09455326004319355,89.77285528785669,99.33366479853065,Virac
2014-02-16,0.09496857385215172,90.09794506226208,99.83920264204164,Virac
2014-02-17,0.09694963899698014,91.99088970014746,101.90838829381352,Virac
2014-02-18,0.09685962834789234,91.88509750406071,101.83415919172474,Virac
2014-02-19,0.09831044082307958,93.18003836406263,103.44084328209708,Virac
2014-02-20,0.09806462667965651,92.91797098149293,103.21128237782092,Virac
2014-02-21,0.09763299866378727,92.5128931703325,102.75310415724255,Virac
2014-02-22,0.09744990586871591,92.30624202156876,102.59356971586367,Virac
2014-02-23,0.09611985608821585,91.04329408466496,101.19641809176713,Virac
2014-02-24,0.09649247218745742,91.3372432653329,101.64770110958268,Virac
2014-02-25,0.09641210758692588,91.23696971575922,101.58724545809335,Virac
2014-02-26,0.09703364494685973,91.78396754734109,102.28332234637934,Virac
2014-02-27,0.09708430409288778,91.81338731718293,102.35522086859311,Virac
2014-02-28,0.09946101971018302,94.01921849263776,104.90282092772874,Virac
2014-03-01,0.09938319217675347,93.93642165357605,104.82996269993161,Virac
2014-03-02,0.10000209188132406,94.47528701945518,105.52889674319343,Virac
2014-03-03,0.09927454480818512,93.73849268910938,104.81059692726201,Virac
2014-03-04,0.09943160950858251,93.85051674472244,105.01270227244295,Virac
2014-03-05,0.10100581791709888,95.22796909047085,106.78366674372735,Virac
2014-03-06,0.10101686851211063,95.20578700062913,106.82795002359234,Virac
2014-03-07,0.10250910269195546,96.47658970721011,108.5416156767011,Virac
2014-03-08,0.10254451185486337,96.48664308700559,108.60238062272123,Virac
2014-03-09,0.10442359092106608,98.09820566035118,110.74897618178204,Virac
2014-03-10,0.1036496206310756,97.37082339311961,109.92841786903186,Virac
2014-03-11,0.1062056389437311,99.81510996131378,112.59616792614864,Virac
2014-03-12,0.1085006180768484,102.03770890306896,114.96352725062843,Virac
2014-03-13,0.10805000054396444,101.59608454297455,114.50391654495458,Virac
2014-03-14,0.10782312638060859,101.36247447488833,114.28377828632914,Virac
2014-03-15,0.10768500976334695,101.22487420943547,114.14514531725881,Virac
2014-03-16,0.10582392941838474,99.37073355038386,112.27712528638611,Virac
2014-03-17,0.10580306201363042,99.33363784297613,112.27248618428474,Virac
2014-03-18,0.10151974134891145,95.29805517560467,107.7414275222187,Virac
