date,Albedo_BSA_Band1,Albedo_WSA_Band1,station,Albedo_BSA_Band1_smooth,Albedo_WSA_Band1_smooth
2014-01-01,28.875074910349227,31.606031370521084,Tayabas,26.93147401393171,29.491515917377722
2014-01-02,29.01873591304594,31.681852350306208,Tayabas,28.057810669603047,30.675343070866415
2014-01-03,29.05102911369246,31.716348746038452,Tayabas,29.10639309697516,31.778743529931347
2014-01-04,29.858764608306682,32.575337627766885,Tayabas,30.07722129604806,32.80171729457252
2014-01-05,29.872775056967914,32.594960020689406,Tayabas,30.97029526682173,33.74426436478994
2014-01-06,29.899584270275014,32.634584905861225,Tayabas,31.785615009296183,34.60638474058359
2014-01-07,29.927015154333898,32.666553915866594,Tayabas,32.52318052347142,35.388078421953495
2014-01-08,29.9585528058976,32.711536473944214,Tayabas,33.18299180934743,36.08934540889964
2014-01-09,31.190128683351194,33.91386024239452,Tayabas,33.76504886692421,36.71018570142202
2014-01-10,31.37096527984742,34.12049394986093,Tayabas,34.26935169620178,37.250599299520644
2014-01-11,34.16882428381533,37.07787692031827,Tayabas,34.695900297180124,37.71058620319552
2014-01-12,35.59300316814352,38.662417929170026,Tayabas,35.044694669859254,38.09014641244663
2014-01-13,41.88666501607853,45.433412031019316,Tayabas,35.31573481423915,38.389279927273975
2014-01-14,42.20357343433291,45.773332303961425,Tayabas,35.50902073031983,38.60798674767757
2014-01-15,41.00270358878844,44.355430855756325,Tayabas,35.624552418101295,38.746266873657405
2014-01-16,41.76234431472479,45.20169531189062,Tayabas,35.66232987758269,38.80412030521258
2014-01-17,39.155776851275974,42.015037461785475,Tayabas,35.58881283344877,38.755674808283054
2014-01-18,32.08659432258767,35.178872763671265,Tayabas,35.41520490792273,38.59953165701472
2014-01-19,31.997459617326584,35.10284865869897,Tayabas,35.09101442114735,38.28857416628468
2014-01-20,31.971451331598526,35.09656254908933,Tayabas,34.7202677886407,37.9277563700298
2014-01-21,31.77478476883398,34.90535002744089,Tayabas,34.26951558493874,37.481556531791064
2014-01-22,31.721540825865443,34.87758419432356,Tayabas,33.72656741149717,36.93780948064479
2014-01-23,31.59583040664199,34.75166669502213,Tayabas,33.1171162959503,36.32120261292018
2014-01-24,31.567339218312135,34.73964862690576,Tayabas,32.44219511490687,35.63557450434966
2014-01-25,31.284838335032152,34.43928375411633,Tayabas,31.753766664137697,34.92918126619348
2014-01-26,31.273225345402572,34.45504102210501,Tayabas,31.013374086603022,34.16790876781202
2014-01-27,30.314197474255913,33.49459855223803,Tayabas,30.359144561961322,33.49034250806277
2014-01-28,29.848223404435277,32.96567952979518,Tayabas,29.76713527623195,32.881581090160125
2014-01-29,29.898952520825507,33.073961689101544,Tayabas,29.53929888068108,32.658951116518224
2014-01-30,29.461879856969887,32.64095573229035,Tayabas,29.45986995253044,32.59660739363172
2014-01-31,29.525149232740574,32.73581216420857,Tayabas,29.449617259866656,32.59329508624479
2014-02-01,29.194755474938773,32.34369967451656,Tayabas,29.635051189412927,32.79985985394698
2014-02-02,29.137734838320185,32.295431247411415,Tayabas,29.77944575796639,32.93945714873676
2014-02-03,30.186808173738722,33.33309549080108,Tayabas,29.682899882747886,32.85271118110608
2014-02-04,30.158442904101737,33.323142184088724,Tayabas,29.587886855475244,32.77352929531567
2014-02-05,30.13822349541961,33.3243029665075,Tayabas,29.556461476171357,32.76415090875753
2014-02-06,30.423703803444816,33.63938181822674,Tayabas,29.583110020326878,32.81181967408145
2014-02-07,30.190548858984698,33.45323530498661,Tayabas,29.690179306249576,32.945958436287825
2014-02-08,29.85287966175965,33.113336570460824,Tayabas,29.849251695874315,33.13139755928931
2014-02-09,29.79345602909323,33.07475243310727,Tayabas,30.04814222254921,33.365294193998665
2014-02-10,29.700745320400923,32.956225523822766,Tayabas,30.278442926765372,33.63876184522497
2014-02-11,29.934565653957257,33.32537737393394,Tayabas,30.52792276904745,33.939499522553774
2014-02-12,30.115156489857743,33.52293677331651,Tayabas,30.76733965339548,34.238423572361846
2014-02-13,30.41714621154723,33.96477644051426,Tayabas,30.984579494382928,34.51742923673207
2014-02-14,30.516591039494777,34.05741977930031,Tayabas,31.213319263542566,34.817943896742264
2014-02-15,30.895465974609234,34.641140865243315,Tayabas,31.477958350940053,35.16028878516397
2014-02-16,30.83702165189185,34.60005724283149,Tayabas,31.725767202853994,35.48935913542023
2014-02-17,32.43000373995097,36.29805177634145,Tayabas,31.934099866954746,35.77624783370073
2014-02-18,32.50438177365462,36.40767410170944,Tayabas,32.113584533126726,36.03726405062867
2014-02-19,33.63692698940675,37.562683284718425,Tayabas,32.31771264940734,36.31863201278264
2014-02-20,33.703186390718024,37.649420934831454,Tayabas,32.499978593604034,36.5750677856232
2014-02-21,33.64064653237311,37.75917633546978,Tayabas,32.65402329956041,36.795806055479716
2014-02-22,33.08706428622708,37.27673213320172,Tayabas,32.775758245699606,36.984409488873574
2014-02-23,32.860218581289395,37.26141948675902,Tayabas,32.826419816873184,37.0831078230713
2014-02-24,32.89875968118081,37.35699924182076,Tayabas,32.81232411393389,37.11080902022225
2014-02-25,32.76215399382957,37.23803355069722,Tayabas,32.76165030703521,37.09259611017787
2014-02-26,33.10137634262125,37.62647002660001,Tayabas,32.71523343808338,37.07184273671638
2014-02-27,32.92378410892582,37.45061078329443,Tayabas,32.679263110601035,37.06583159541027
2014-02-28,33.224338157816554,37.78075084342469,Tayabas,32.63310463507564,37.04096721740145
2014-03-01,33.27227561852651,37.7878195715057,Tayabas,32.605556719849595,37.0434671501767
