date,Albedo_BSA_Band1,Albedo_WSA_Band1,station,Albedo_BSA_Band1_smooth,Albedo_WSA_Band1_smooth
2014-01-01,20.838586412945915,23.944175165343065,Virac,16.22036388967998,18.654386856016323
2014-01-02,20.789902461125504,23.912930241040414,Virac,17.627877901913198,20.268707123596037
2014-01-03,20.58137215396794,23.68822320721771,Virac,18.93501253653345,21.76877444790529
2014-01-04,20.379161669807548,23.45359488321626,Virac,20.141767793540726,23.15458882894408
2014-01-05,20.034178617232133,23.086198554273054,Virac,21.24814367293503,24.42615026671241
2014-01-06,20.02971901597295,23.09897982977731,Virac,22.254140174716365,25.583458761210274
2014-01-07,20.0302128032227,23.119674810987537,Virac,23.159757298884728,26.626514312437678
2014-01-08,20.012329485834208,23.1142940422059,Virac,23.964995045440123,27.555316920394617
2014-01-09,20.0523213755397,23.08129192906041,Virac,24.669853414382544,28.36986658508109
2014-01-10,20.042848548997508,23.079350151915506,Virac,25.274332405711995,29.070163306497108
2014-01-11,20.473906911142453,23.511988716502117,Virac,25.778432019428475,29.656207084642656
2014-01-12,20.454160789844853,23.516220028208746,Virac,26.18215225553198,30.127997919517746
2014-01-13,26.009844566967278,29.616873958199772,Virac,26.48549311402252,30.485535811122375
2014-01-14,31.5655283440897,35.717527888190794,Virac,26.688454594900087,30.728820759456536
2014-01-15,37.121212121212125,41.81818181818182,Virac,26.79103669816468,30.85785276452024
2014-01-16,31.846320346320347,36.83766233766234,Virac,26.793239423815663,30.872631826312755
2014-01-17,26.571428571428573,31.857142857142858,Virac,26.82045476668724,30.91965641086532
2014-01-18,33.86790979339069,38.93923658683619,Virac,26.72334452881571,30.824412967324875
2014-01-19,33.90280594070258,39.025469940264145,Virac,26.492847005126773,30.58399928883928
2014-01-20,24.54412451943747,28.595869498844156,Virac,26.131764088784834,30.192270782245394
2014-01-21,24.524263345151383,28.59905663316489,Virac,25.628062154851953,29.636824637475392
2014-01-22,22.621414745111338,26.209991734486266,Virac,25.003267937409557,28.94298179437434
2014-01-23,20.958899535996423,24.25106536798244,Virac,24.280052998225724,28.13519311769664
2014-01-24,20.933815739316746,24.24804868751397,Virac,23.46335588260476,27.219642387100222
2014-01-25,20.91725686146716,24.256904917083062,Virac,22.524061817612647,26.16126449682236
2014-01-26,21.623695298132315,25.18828389593956,Virac,21.464784141641136,24.964590452428887
2014-01-27,17.152391508177562,19.97156318571154,Virac,20.33181118844858,23.685291886899854
2014-01-28,17.142976266463243,19.98101180838808,Virac,19.044240091681083,22.22652060527962
2014-01-29,17.006298431555802,19.768578748551047,Virac,17.974372636929317,21.0003937340826
2014-01-30,17.185006539998188,20.151260880573506,Virac,17.213196416663465,20.106312522772324
2014-01-31,16.90610117766876,19.73728465587973,Virac,16.8661512639233,19.660774049889834
2014-02-01,16.504033980970377,19.3117012370296,Virac,16.44055493384656,19.166046422763333
2014-02-02,16.436043137108157,19.278613402855793,Virac,15.788400279453352,18.482481839186537
2014-02-03,16.430592677593108,19.13847943798762,Virac,15.654145242282311,18.335312073241276
2014-02-04,16.38617245238378,19.107077297984677,Virac,15.718237186053866,18.408280510213324
2014-02-05,16.441770055628744,19.199810606060602,Virac,15.516352194129212,18.191618523247094
2014-02-06,16.421567471255223,19.1919822718085,Virac,15.427660726813535,18.11279391779267
2014-02-07,15.935450239845107,18.69765804794693,Virac,15.366129012749266,18.055468199580673
2014-02-08,15.219109268465834,17.944781465062523,Virac,15.305220163492216,17.996090023319564
2014-02-09,15.129643711222048,17.845669643170215,Virac,15.22394392002108,17.919896527216984
2014-02-10,15.010536156450554,17.757632445375627,Virac,15.270589946447899,17.986599910854554
2014-02-11,14.44755133354834,17.010810097633918,Virac,15.457511334539088,18.221687660036928
2014-02-12,15.330285930648692,18.071151865287298,Virac,15.53414791517166,18.320604074564244
2014-02-13,15.304463329839436,18.057913174040017,Virac,15.636883788789623,18.451632845460935
2014-02-14,15.43727617918333,18.23226072393088,Virac,15.815812360384573,18.660378326159396
2014-02-15,15.570840234983041,18.395372538185907,Virac,16.002391007861593,18.883893143848475
2014-02-16,15.4421357383893,18.338396141833037,Virac,16.258351486239683,19.17820488055367
2014-02-17,17.259557105054757,20.215306240704617,Virac,16.582089271394594,19.546455342766095
