date,Albedo_BSA_Band1,Albedo_WSA_Band1,station,Albedo_BSA_Band1_smooth,Albedo_WSA_Band1_smooth
2014-01-01,29.250050593081472,31.877280768753714,Ambulong,28.312806041544757,30.562740609098167
2014-01-02,29.628404800539816,31.877178156579873,Ambulong,28.94516608449391,31.115990059434196
2014-01-03,29.57450315698151,31.801150330157633,Ambulong,29.55724960670938,31.655673605423075
2014-01-04,30.99486956300748,32.95707587328616,Ambulong,30.14905660819117,32.1817912470648
2014-01-05,30.988265142290306,32.942645127856224,Ambulong,30.72058708893928,32.69434298435938
2014-01-06,31.097297228610987,33.05268307559374,Ambulong,31.271841048953707,33.193328817306806
2014-01-07,31.15608917747816,33.132161962971914,Ambulong,31.802818488234454,33.678748745907086
2014-01-08,31.201163957965345,33.159431109190955,Ambulong,32.313519406781516,34.15060277016022
2014-01-09,31.976343528980678,33.26573017913721,Ambulong,32.8039438045949,34.60889089006619
2014-01-10,31.810486049031354,33.02370385345561,Ambulong,33.274091681674605,35.05361310562502
2014-01-11,31.856412136999662,33.06268928496911,Ambulong,33.72396303802063,35.4847694168367
2014-01-12,32.7890162528831,34.04627183476919,Ambulong,34.15355787363296,35.902359823701225
2014-01-13,34.7904835192204,36.51908947803682,Ambulong,34.56287618851162,36.306384326218605
2014-01-14,36.03848891339753,37.9918245123562,Ambulong,34.951917982656596,36.69684292438883
2014-01-15,35.73321922427246,37.65520009762426,Ambulong,35.320683256067895,37.07373561821191
2014-01-16,36.16860236410888,38.138622161747314,Ambulong,35.66917200874468,37.43706240768695
2014-01-17,36.45905905051912,38.4537236346454,Ambulong,36.08588649669573,37.87810513661756
2014-01-18,37.07140986580311,39.0957358473694,Ambulong,36.4734953070547,38.29817831081635
2014-01-19,37.48352817841031,39.593932270156934,Ambulong,36.77148480683108,38.654319611692074
2014-01-20,37.38766539568506,39.44873013891157,Ambulong,37.11618905913615,39.06658753210114
2014-01-21,37.7486706322024,39.90534009194859,Ambulong,37.41073546673548,39.43947821407117
2014-01-22,37.663317780772466,39.794035571715526,Ambulong,37.6073570433521,39.72988145721979
2014-01-23,37.73158341736196,39.8670258956603,Ambulong,37.76194673773267,39.99258029639314
2014-01-24,37.76761976862174,39.98524701234504,Ambulong,37.87363948693747,40.21265916278104
2014-01-25,38.165008895761616,40.38145358407743,Ambulong,37.97834042305519,40.39565834778113
2014-01-26,38.23624666012725,40.480776534855224,Ambulong,38.025410255357485,40.510261643220055
2014-01-27,37.934656971188446,40.2648835626301,Ambulong,38.024362620813804,40.56780508209323
2014-01-28,37.73237556251667,40.03422315712697,Ambulong,37.96952363871716,40.53923736475646
2014-01-29,37.81081844204566,40.19627290488832,Ambulong,37.98241481530328,40.579285726257034
2014-01-30,38.143481385470245,40.80109852033418,Ambulong,38.04948127680583,40.69132068261493
2014-01-31,38.21230894601078,40.92199671470556,Ambulong,38.098559815581105,40.7820356523361
