date,Albedo_BSA_Band1,Albedo_WSA_Band1,station,Albedo_BSA_Band1_smooth,Albedo_WSA_Band1_smooth
2014-01-01,19.365743648889392,21.238989177110255,Basco,18.922513851128624,20.383195755135034
2014-01-02,19.39513330381324,21.285009628355763,Basco,19.763819124568137,21.310585983176832
2014-01-03,20.898247267437693,22.817719911082875,Basco,20.548768874722125,22.178757127535203
2014-01-04,21.770632723479384,23.670247552559793,Basco,21.27736310159058,22.98770918821015
2014-01-05,21.466579617658684,23.196807385679218,Basco,21.949601805173508,23.737442165201674
2014-01-06,21.528445715441695,23.30152366415022,Basco,22.565484985470903,24.427956058509775
2014-01-07,22.305251693401228,23.71068395257522,Basco,23.125012642482773,25.05925086813445
2014-01-08,22.416409511708117,23.852432861059896,Basco,23.62818477620911,25.631326594075702
2014-01-09,22.356086427573167,24.001618757477956,Basco,24.075001386649923,26.14418323633353
2014-01-10,24.217262604458323,26.05896685118297,Basco,24.4654624738052,26.597820794907932
2014-01-11,24.605104926167094,26.50595321928865,Basco,24.799568037674952,26.99223926979891
2014-01-12,24.427840714446038,26.142038675534245,Basco,25.077318078259175,27.327438661006468
2014-01-13,26.28739119146204,28.32857787070062,Basco,25.298712595557866,27.603418968530598
2014-01-14,29.824191827436056,32.285520662110336,Basco,25.463751589571032,27.820180192371303
2014-01-15,30.707415315192534,33.309847211496226,Basco,25.572435060298666,27.977722332528586
2014-01-16,27.50353782556873,29.86093429027924,Basco,25.624763007740174,28.07604538900179
2014-01-17,25.347819478012372,28.20947907641327,Basco,25.515364493133553,28.014188590479034
2014-01-18,25.35050997917521,28.23542645203459,Basco,25.365059896478872,27.942961138677383
2014-01-19,24.906831036530104,27.8921283709884,Basco,25.195483433002877,27.84849655667164
2014-01-20,25.32119341161759,28.550692639846815,Basco,24.995416614081645,27.717357005394483
2014-01-21,24.118864708643137,27.524491761974172,Basco,24.6987810972356,27.469774671986166
2014-01-22,24.18722876627403,27.301804594427043,Basco,24.39784551667282,27.225853597375274
2014-01-23,21.501637764932568,24.01867908370799,Basco,24.065404524594992,26.92335825845048
2014-01-24,21.274417867891657,23.790390200116164,Basco,23.55422733309277,26.401486503492777
2014-01-25,21.211394477005125,23.75917419082317,Basco,22.96024997966086,25.78912044141159
2014-01-26,24.02618942346251,26.863644309172983,Basco,22.449658596154112,25.274861523275312
2014-01-27,21.39260381933919,23.829749274671983,Basco,22.046038521939156,24.868364926169814
2014-01-28,21.377906724981592,23.848274368856362,Basco,21.616042446965235,24.40700819134158
2014-01-29,21.459715065171263,23.97192222751483,Basco,21.290855059602713,24.052896838403306
2014-01-30,21.419431786120395,23.91917956960748,Basco,21.16597221021368,23.91460901570211
2014-01-31,22.51578574261771,25.64383550083127,Basco,21.19019284560189,23.9241690636712
2014-02-01,21.97663715262558,25.2370474270185,Basco,21.137484452517995,23.828365274730523
2014-02-02,20.888213229778042,23.545006839945287,Basco,21.03099798866073,23.69655841989789
2014-02-03,20.868108203521476,23.560910815939284,Basco,20.99904251812963,23.652059779896028
2014-02-04,20.816645337805042,23.53717841225012,Basco,21.087209155508774,23.776460310266312
2014-02-05,21.085994223154795,23.94386451629896,Basco,21.239526198564835,23.97815092790268
2014-02-06,19.609685101878803,22.1801551869841,Basco,21.43778889431118,24.273318471851642
2014-02-07,19.291168824570466,21.747258516592858,Basco,21.57486355725494,24.47902676317652
2014-02-08,21.888200272285776,24.900839209152053,Basco,21.558648439907845,24.48241019818302
2014-02-09,22.95848090121456,26.157742561578324,Basco,21.536972940689438,24.480179944156482
2014-02-10,23.00675636321277,25.941202166695785,Basco,21.57536190715845,24.539530698405663
2014-02-11,21.20354008306559,23.970006269101162,Basco,21.716205608385074,24.71558876220643
2014-02-12,21.410864366245296,24.319906616558484,Basco,21.735277922350786,24.763267626679927
2014-02-13,21.323106707664273,24.28505864935657,Basco,21.74165699503738,24.801237817008325
2014-02-14,22.02561901617695,24.972906349730376,Basco,21.753090800329765,24.858034593807567
2014-02-15,22.119140362659497,25.21760689500783,Basco,21.710976488031708,24.845379269014828
2014-02-16,22.6551495762474,26.132614918336415,Basco,21.717085548633143,24.91224201537417
2014-02-17,23.176483316250994,26.966325019929393,Basco,21.690814413330482,24.949006869654124
2014-02-18,22.9845234028015,26.832741145655394,Basco,21.627850550697122,24.926065875830673
2014-02-19,21.051330279404176,24.1950773089019,Basco,21.541269052536023,24.876295739946094
2014-02-20,20.854603116518764,24.12610414824302,Basco,21.362270051632567,24.717346736050274
2014-02-21,19.060492870713666,21.66897238669692,Basco,21.154991168356567,24.52624574467399
2014-02-22,20.612292319137413,23.592298013427502,Basco,20.827200114463373,24.191989674441814
2014-02-23,21.308673296472396,24.776500663303345,Basco,20.41773008996206,23.750838386346842
2014-02-24,21.04658964204699,24.57049482871314,Basco,20.147592551897556,23.486075208119242
2014-02-25,19.23419873201907,22.815111637451377,Basco,19.95597131900677,23.307185713397143
2014-02-26,19.698510918599546,23.390993652441203,Basco,19.743890832077607,23.084554959785308
2014-02-27,19.454372421522496,22.945246905826995,Basco,19.473024216131904,22.783205734205385
2014-02-28,19.12121359601308,22.520129263354615,Basco,19.211501655698324,22.476950436727524
2014-03-01,18.41189491519248,21.42271675563409,Basco,18.909303679986078,22.11987429925656
2014-03-02,18.796773982890354,21.922820012874208,Basco,18.547162815586233,21.680052481885816
2014-03-03,18.469520402706838,21.4703593752881,Basco,18.18688185527001,21.24265969674919
2014-03-04,18.238929322636487,21.331143085829154,Basco,17.684215572461305,20.66642946002703
2014-03-05,17.152600781940155,20.02491887589542,Basco,17.32095298887309,20.252559726847835
2014-03-06,16.485722514094217,19.219948335747823,Basco,16.71223438723561,19.594565069125668
2014-03-07,17.296951599097344,20.17168897362073,Basco,16.196769918661765,18.949948149384845
2014-03-08,17.366011141951613,20.279198409417507,Basco,15.99505394443365,18.686961922980984
2014-03-09,17.490302443224625,20.37800021526208,Basco,15.8638333891687,18.483346179728027
2014-03-10,17.804572402286198,20.841267587300457,Basco,15.694365657937826,18.270012984733533
2014-03-11,16.799255563110037,19.39417126657985,Basco,15.72865556975154,18.314600622859693
2014-03-12,15.898641232768458,18.31809201861445,Basco,15.774288967981134,18.395547156720745
