date,Albedo_original,Albedo_linear,Albedo_spline
2014-01-01,0.0,0.46967182893323367,0.6611984102578123
2014-01-02,0.0,0.46967182893323367,0.6615072839146818
2014-01-03,0.0,0.46967182893323367,0.6618155789910649
2014-01-04,0.0,0.46967182893323367,0.6621232958507641
2014-01-05,0.0,0.46967182893323367,0.6624304348575814
2014-01-06,0.0,0.46967182893323367,0.6627369963753195
2014-01-07,0.0,0.46967182893323367,0.6630429807677803
2014-01-08,0.0,0.46967182893323367,0.6633483883987666
2014-01-09,0.0,0.46967182893323367,0.6636532196320799
2014-01-10,0.0,0.46967182893323367,0.6639574748315235
2014-01-11,0.0,0.46967182893323367,0.6642611543608992
2014-01-12,0.0,0.46967182893323367,0.6645642585840091
2014-01-13,0.0,0.46967182893323367,0.6648667878646557
2014-01-14,0.0,0.46967182893323367,0.6651687425666418
2014-01-15,0.0,0.46967182893323367,0.6654701230537691
2014-01-16,0.0,0.46967182893323367,0.66577092968984
2014-01-17,0.0,0.46967182893323367,0.6660711628386571
2014-01-18,0.0,0.46967182893323367,0.6663708228640224
2014-01-19,0.0,0.46967182893323367,0.6666699101297381
2014-01-20,0.0,0.46967182893323367,0.666968424999607
2014-01-21,0.0,0.46967182893323367,0.6672663678374312
2014-01-22,0.0,0.46967182893323367,0.6675637390070126
2014-01-23,0.0,0.46967182893323367,0.6678605388721538
2014-01-24,0.0,0.46967182893323367,0.6681567677966577
2014-01-25,0.0,0.46967182893323367,0.6684524261443258
2014-01-26,0.0,0.46967182893323367,0.6687475142789605
2014-01-27,0.0,0.46967182893323367,0.6690420325643648
2014-01-28,0.0,0.46967182893323367,0.66933598136434
2014-01-29,0.0,0.46967182893323367,0.669629361042689
2014-01-30,0.0,0.46967182893323367,0.6699221719632142
2014-01-31,0.0,0.46967182893323367,0.6702144144897175
2014-02-01,0.0,0.46967182893323367,0.6705060889860015
2014-02-02,0.0,0.46967182893323367,0.6707971958158687
2014-02-03,0.0,0.46967182893323367,0.6710877353431209
2014-02-04,0.0,0.46967182893323367,0.6713777079315607
2014-02-05,0.0,0.46967182893323367,0.6716671139449902
2014-02-06,0.0,0.46967182893323367,0.6719559537472123
2014-02-07,0.0,0.46967182893323367,0.6722442277020286
2014-02-08,0.0,0.46967182893323367,0.6725319361732419
2014-02-09,0.0,0.46967182893323367,0.6728190795246544
2014-02-10,0.0,0.46967182893323367,0.673105658120068
2014-02-11,0.0,0.46967182893323367,0.6733916723232853
2014-02-12,0.0,0.46967182893323367,0.6736771224981091
2014-02-13,0.0,0.46967182893323367,0.6739620090083406
2014-02-14,0.0,0.46967182893323367,0.6742463322177833
2014-02-15,0.0,0.46967182893323367,0.6745300924902387
2014-02-16,0.0,0.46967182893323367,0.6748132901895092
2014-02-17,0.0,0.46967182893323367,0.6750959256793977
2014-02-18,0.0,0.46967182893323367,0.6753779993237058
2014-02-19,0.0,0.46967182893323367,0.6756595114862364
2014-02-20,0.0,0.46967182893323367,0.6759404625307912
2014-02-21,0.0,0.46967182893323367,0.6762208528211728
2014-02-22,0.0,0.46967182893323367,0.6765006827211838
2014-02-23,0.0,0.46967182893323367,0.676779952594626
2014-02-24,0.0,0.46967182893323367,0.677058662805302
2014-02-25,0.0,0.46967182893323367,0.6773368137170142
2014-02-26,0.0,0.46967182893323367,0.6776144056935648
2014-02-27,0.0,0.46967182893323367,0.6778914390987559
2014-02-28,0.0,0.46967182893323367,0.6781679142963899
2014-03-01,0.0,0.46967182893323367,0.6784438316502694
2014-03-02,0.0,0.46967182893323367,0.6787191915241966
2014-03-03,0.0,0.46967182893323367,0.6789939942819736
2014-03-04,0.0,0.46967182893323367,0.6792682402874028
2014-03-05,0.0,0.46967182893323367,0.6795419299042864
2014-03-06,0.0,0.46967182893323367,0.6798150634964267
2014-03-07,0.0,0.46967182893323367,0.6800876414276268
2014-03-08,0.0,0.46967182893323367,0.6803596640616878
2014-03-09,0.0,0.46967182893323367,0.6806311317624126
2014-03-10,0.0,0.46967182893323367,0.6809020448936037
2014-03-11,0.0,0.46967182893323367,0.6811724038190632
2014-03-12,0.0,0.46967182893323367,0.6814422089025931
2014-03-13,0.0,0.46967182893323367,0.6817114605079961
2014-03-14,0.0,0.46967182893323367,0.6819801589990746
2014-03-15,0.0,0.46967182893323367,0.6822483047396307
2014-03-16,0.0,0.46967182893323367,0.6825158980934667
2014-03-17,0.0,0.46967182893323367,0.6827829394243848
2014-03-18,0.0,0.46967182893323367,0.6830494290961877
2014-03-19,0.0,0.46967182893323367,0.683315367472677
2014-03-20,0.0,0.46967182893323367,0.683580754917656
2014-03-21,0.0,0.46967182893323367,0.6838455917949264
2014-03-22,0.0,0.46967182893323367,0.6841098784682903
2014-03-23,0.0,0.46967182893323367,0.6843736153015504
2014-03-24,0.0,0.46967182893323367,0.6846368026585091
2014-03-25,0.0,0.46967182893323367,0.6848994409029682
2014-03-26,0.0,0.46967182893323367,0.6851615303987303
2014-03-27,0.0,0.46967182893323367,0.685423071509598
2014-03-28,0.0,0.46967182893323367,0.6856840645993734
2014-03-29,0.0,0.46967182893323367,0.6859445100318585
2014-03-30,0.0,0.46967182893323367,0.6862044081708562
2014-03-31,0.0,0.46967182893323367,0.6864637593801682
2014-04-01,0.0,0.46967182893323367,0.686722564023597
2014-04-02,0.0,0.46967182893323367,0.6869808224649451
2014-04-03,0.0,0.46967182893323367,0.6872385350680148
2014-04-04,0.0,0.46967182893323367,0.687495702196608
2014-04-05,0.0,0.46967182893323367,0.6877523242145278
2014-04-06,0.0,0.46967182893323367,0.6880084014855757
