date,NDBI,NDBI_smooth
2014-01-01,-0.1989474087557196,-0.1991706888633573
2014-01-02,-0.1989474087557196,-0.19918344772665086
2014-01-03,-0.1989474087557196,-0.1990857933499038
2014-01-04,-0.1989474087557196,-0.1988777257331161
2014-01-05,-0.1989474087557196,-0.19855924487628776
2014-01-06,-0.1989474087557196,-0.19813035077941876
2014-01-07,-0.1979352056010951,-0.1975910434425091
2014-01-08,-0.1969230024464706,-0.19694132286555988
2014-01-09,-0.19591079929184607,-0.199420392116759
2014-01-10,-0.19489859613722157,-0.202345158320373
2014-01-11,-0.19388639298259708,-0.20338923351850507
2014-01-12,-0.19287418982797258,-0.20066419881576655
2014-01-13,-0.19186198667334806,-0.19271960437927674
2014-01-14,-0.19084978351872356,-0.17854296943866266
2014-01-15,-0.18983758036409906,-0.1574196310800346
2014-01-16,-0.14144199895697174,-0.12675802461016195
2014-01-17,-0.0930464175498444,-0.08875352134448379
2014-01-18,-0.04465083614271706,-0.045725537314640505
2014-01-19,0.0037447452644102652,-0.00011753326847353872
2014-01-20,0.05214032667153759,0.04550298532997444
2014-01-21,0.10053590807866494,0.08844446830045959
2014-01-22,0.1489314894857922,0.1258913207465369
2014-01-23,0.16365063378064723,0.15490390305556012
2014-01-24,0.17836977807550222,0.17897930634902848
2014-01-25,0.19308892237035724,0.1985746768320859
2014-01-26,0.20780806666521223,0.21445192484663905
2014-01-27,0.22252721096006725,0.22767772487135718
2014-01-28,0.23724635525492227,0.2396235155216722
2014-01-29,0.25196549954977726,0.25196549954977865
2014-01-30,0.2666846438446323,0.26668464384463375
2014-01-31,0.2814037881394873,0.28140378813948874
2014-02-01,0.2961229324343423,0.29973610815325236
2014-02-02,0.3108420767291973,0.31867062412016733
2014-02-03,0.3255612210240523,0.335659583930747
2014-02-04,0.3402803653189073,0.3486184631317749
2014-02-05,0.35499950961376237,0.35592596492630485
2014-02-06,0.36971865390861736,0.3564240201736611
2014-02-07,0.38443779820347235,0.34941778738943813
2014-02-08,0.34797028648045725,0.3346756527455009
2014-02-09,0.31150277475744215,0.31242923006998446
2014-02-10,0.27503526303442705,0.28337336084729425
2014-02-11,0.23856775131141195,0.2486661142181062
2014-02-12,0.20210023958839685,0.20992878697936632
2014-02-13,0.16563272786538175,0.16924590358429112
2014-02-14,0.12916521614236665,0.12916521614236734
2014-02-15,0.09269770441935155,0.09269770441935204
2014-02-16,0.056230192696336445,0.05623019269633675
2014-02-17,0.019762680973321345,0.01804278302097294
2014-02-18,-0.016704830749693755,-0.02043127631311563
2014-02-19,-0.053172342472708856,-0.057979236749785765
2014-02-20,-0.08963985419572396,-0.09360884947037486
2014-02-21,-0.12610736591873906,-0.1265483653937009
2014-02-22,-0.16257487764175416,-0.1562465351760624
2014-02-23,-0.1990423893647693,-0.18237260921123855
2014-02-24,-0.2111446800961805,-0.20481633763048898
2014-02-25,-0.22324697082759173,-0.22368797030255405
2014-02-26,-0.23534926155900293,-0.2393182568336546
2014-02-27,-0.24745155229041416,-0.2522584465674921
2014-02-28,-0.2595538430218254,-0.26328028858524855
2014-03-01,-0.27165613375323655,-0.27337603170558655
2014-03-02,-0.2837584244846478,-0.2837584244846493
2014-03-03,-0.29586071521605894,-0.29586071521606055
2014-03-04,-0.30796300594747017,-0.30796300594747184
2014-03-05,-0.3200652966788814,-0.3380725804366337
2014-03-06,-0.3321675874102926,-0.3711833688854206
2014-03-07,-0.3442698781417038,-0.39459792761849566
2014-03-08,-0.356372168873115,-0.39792743908331046
2014-03-09,-0.3684744596045262,-0.37309171185010515
2014-03-10,-0.3805767503359374,-0.3143191806119083
2014-03-11,-0.39267904106734863,-0.21814690618453716
2014-03-12,-0.14967814523062783,-0.08342057550659746
2014-03-13,0.09332275060609296,0.08870549836051653
2014-03-14,0.33632364644281376,0.3288787232350802
2014-03-15,0.5793245422795346,0.6029022446414071
2014-03-16,0.8223254381162552,0.8786437033915935
2014-03-17,1.0653263339529762,1.1260352355855192
2014-03-18,1.308327229789697,1.3170734726108468
2014-03-19,1.5513281256264178,1.4258195411430217
2014-03-20,1.7943290214631384,1.4637210428239373
2014-03-21,1.5541000014317035,1.4058984895688034
2014-03-22,1.3138709814002685,1.2734492148991592
2014-03-23,1.0736419613688337,1.0889343240830773
2014-03-24,0.8334129413373986,0.8763786941351612
2014-03-25,0.5931839213059638,0.6612709738165484
2014-03-26,0.3529549012745288,0.47056358363490836
2014-03-27,0.11272588124309384,0.3326727158444431
2014-03-28,0.1939799990879667,0.2774783344458872
2014-03-29,0.27523411693283956,0.2694154176047631
2014-03-30,0.3564882347777124,0.31653196799390204
2014-03-31,0.43774235262258526,0.4012112554791317
2014-04-01,0.5189964704674581,0.5045184857967139
2014-04-02,0.6002505883123309,0.6062008005533445
2014-04-03,0.6815047061572037,0.6846872772261533
2014-04-04,0.7627588240020766,0.7170889291627046
2014-04-05,0.8440129418469495,0.7237117554407926
2014-04-06,0.7494300081325532,0.6901537053800951
2014-04-07,0.6548470744181569,0.6285490950087534
2014-04-08,0.5602641407037605,0.5508791146184737
2014-04-09,0.46568120698936427,0.4689718287645267
2014-04-10,0.37109827327496797,0.39450217626574735
2014-04-11,0.2765153395605716,0.33899197020453553
2014-04-12,0.18193240584617526,0.3138098979268557
2014-04-13,0.28010691756716244,0.3301715210422368
2014-04-14,0.3782814292881496,0.37479260674633486
2014-04-15,0.4764559410091368,0.46240222309082135
2014-04-16,0.574630452730124,0.5741846044333967
2014-04-17,0.6728049644511112,0.6918033796247034
2014-04-18,0.7709794761720983,0.797401572008326
