date,NDBI,NDBI_smooth
2014-01-01,-0.1319492421268182,-0.13139088915925454
2014-01-02,-0.1319492421268182,-0.13135898327539375
2014-01-03,-0.1319492421268182,-0.13160318600186663
2014-01-04,-0.1319492421268182,-0.13212349733867315
2014-01-05,-0.1319492421268182,-0.13291991728581334
2014-01-06,-0.1319492421268182,-0.13399244584328718
2014-01-07,-0.1344804422464399,-0.13534108301109465
2014-01-08,-0.13701164236606161,-0.1369658287892366
2014-01-09,-0.1395428424856833,-0.13913052029425246
2014-01-10,-0.142074042605305,-0.1415746746179053
2014-01-11,-0.14460524272492672,-0.14421811800075002
2014-01-12,-0.1471364428445484,-0.14695776989492884
2014-01-13,-0.14966764296417012,-0.1496676429641709
2014-01-14,-0.15219884308379183,-0.15219884308379264
2014-01-15,-0.15473004320341355,-0.15473004320341438
2014-01-16,-0.15726124332303526,-0.1570879679032649
2014-01-17,-0.15979244344265695,-0.15941701336648686
2014-01-18,-0.16232364356227866,-0.1618393609788164
2014-01-19,-0.16485484368190037,-0.16445497732858305
2014-01-20,-0.16738604380152206,-0.16734161420670982
2014-01-21,-0.16991724392114377,-0.17055480860671313
2014-01-22,-0.17244844404076548,-0.17412788272470275
2014-01-23,-0.17743437927381264,-0.17807194395938203
2014-01-24,-0.18242031450685983,-0.18237588491204768
2014-01-25,-0.187406249739907,-0.18700638338658981
2014-01-26,-0.19239218497295418,-0.19190790238949207
2014-01-27,-0.19737812020600135,-0.19700269012983143
2014-01-28,-0.2023640554390485,-0.20219078001927837
2014-01-29,-0.2073499906720957,-0.2073499906720968
2014-01-30,-0.21233592590514286,-0.21233592590514397
2014-01-31,-0.21732186113819002,-0.21732186113819119
2014-02-01,-0.2223077963712372,-0.2229790126122966
2014-02-02,-0.22729373160428437,-0.2287480334599117
2014-02-03,-0.23227966683733153,-0.23415563017772625
2014-02-04,-0.23726560207037872,-0.23881456262666817
2014-02-05,-0.24225153730342588,-0.24242364403190364
