NDVI_scaled,QA,TIMEOFDAY,date
0.6407788105695155,412.3347079871429,454.0,2014-01-01
0.5662868274446563,533.8537206622598,436.0,2014-01-02
0.5488920800633594,668.7911334829281,468.22276621787034,2014-01-03
0.49069833070155633,664.7757899205533,536.0,2014-01-04
0.2815342471778332,985.9582145672874,518.0,2014-01-05
0.27481737281923474,882.89010855722,500.0,2014-01-06
0.17171733026135794,1036.1643519922375,442.0,2014-01-07
0.588309586328297,807.5924555764451,512.5421739768227,2014-01-08
0.39162982700483795,1645.2915883316152,542.0,2014-01-09
0.0920684943556663,1199.9402632057734,524.0,2014-01-10
0.3561835874505205,1096.4207047122322,506.0,2014-01-11
0.07562414282512885,1806.207471647765,448.0,2014-01-12
0.032985784716516024,1567.5222875856632,430.0,2014-01-13
0.03755649510719354,1805.9673115410271,548.0,2014-01-14
0.14831411908704728,1786.1332403420463,530.0,2014-01-15
0.20223909568723442,1004.4219782885563,512.0,2014-01-16
0.028792317661458705,1804.9285584328945,454.0,2014-01-17
0.05819730002159981,1804.7495299896898,436.0,2014-01-18
0.12981122269461953,1096.596397598399,470.23867468113184,2014-01-19
0.15744456764345888,1156.9556067681488,536.0,2014-01-20
0.020472416068025214,1061.9328643337985,518.0,2014-01-21
0.17645997654302897,996.7909515434535,500.0,2014-01-22
0.14381211676690628,1115.7092000727762,442.0,2014-01-23
0.26068259785955145,988.4718903511432,485.22973171089285,2014-01-24
0.7497347660261112,155.0633755837225,542.0,2014-01-25
0.37703324677198286,913.4302868579055,524.0,2014-01-26
0.10627170502858818,1213.5807508035662,506.0,2014-01-27
0.29652259932561204,880.4774091818789,448.0,2014-01-28
0.4138814817481461,880.1022499848385,430.0,2014-01-29
0.3356037993252164,1145.6000363878952,548.0,2014-01-30
0.2382752686651583,1015.495724422342,530.0,2014-01-31
0.021292347163172555,1805.5888774334403,512.0,2014-02-01
0.6152269643655882,367.8737946509795,454.0,2014-02-02
0.3897931168550652,666.6517071987387,436.0,2014-02-03
0.5208003153880004,658.6242949845353,480.41396508728184,2014-02-04
0.43143208294333635,859.1695069440237,536.0,2014-02-05
0.5389493700050401,667.8568136333313,518.0,2014-02-06
0.5609434833602112,1040.0488204257385,500.0,2014-02-07
0.6006949567512094,380.5974892352478,442.0,2014-02-08
0.16384186766505862,1036.9432955303537,424.0,2014-02-09
0.33028299373605013,928.3320395415127,542.0,2014-02-10
0.024834281942203315,1767.7182970465158,524.0,2014-02-11
0.1457754265965872,1091.2473163927468,506.0,2014-02-12
0.4525464106969448,866.5480623445936,448.0,2014-02-13
0.4680422276621787,816.2202074110015,430.0,2014-02-14
0.4122175916005999,849.610528230942,548.0,2014-02-15
0.3583785463509376,785.701619261326,530.0,2014-02-16
0.5453779211259346,600.1086785129479,512.0,2014-02-17
0.5902735449347603,463.25980957001644,454.0,2014-02-18
0.45854901720786245,673.8640305658319,436.0,2014-02-19
0.5150222230522148,668.5200436654742,496.09128258758483,2014-02-20
0.0390546691626467,1095.6256292073506,536.0,2014-02-21
0.16864820407564876,984.3234277397054,518.0,2014-02-22
0.0591946048966427,1045.160470616775,500.0,2014-02-23
0.24927315141478865,982.4770453029295,442.0,2014-02-24
0.369194949420906,763.2465279883561,502.872892537751,2014-02-25
0.3856046327517959,940.8528716113776,542.0,2014-02-26
0.466672951180179,696.7703923828007,524.0,2014-02-27
0.4496935786541563,667.1790284432045,506.0,2014-02-28
0.615758686730506,451.4920249863546,448.0,2014-03-01
0.5512138791364755,693.1594396264178,430.0,2014-03-02
0.5552967216627385,537.6240523985689,548.4247553746161,2014-03-03
0.5260813305493556,558.5155558250957,530.0,2014-03-04
0.14228825685383373,1088.616774819577,512.0,2014-03-05
