date,NDVI,TIMEOFDAY,QA
2014-01-01,0.5867293991244059,454.0,148.56247579324068
2014-01-02,0.5291873962230732,436.0,281.5869504367053
2014-01-03,0.5644608893917622,432.63854116891,191.95978251942748
2014-01-04,0.5741532590843567,536.0,279.83390579130185
2014-01-05,0.4640707883265471,518.0,542.6104040834042
2014-01-06,0.09124825881993094,500.0,1024.6369853527544
2014-01-07,0.3098456669719451,442.0,676.3415118770448
2014-01-08,0.5030998161063936,494.76294888213624,612.5135454586544
2014-01-09,0.48661780516783776,542.0,504.8104329492812
2014-01-10,0.2425893460199687,524.0,1297.0582348418934
2014-01-11,0.2566336453624009,506.0,1720.5802551568618
2014-01-12,0.21910072330171315,448.0,1803.209630414723
2014-01-13,0.12538383355827082,472.4338664113046,1251.691350514849
2014-01-14,0.15396369274126448,548.0,1796.2744997917682
2014-01-15,0.18153369634403488,530.0,1775.4858528044383
2014-01-16,0.5208052695329021,512.0,516.2287229570708
2014-01-17,0.28766867673001156,454.0,1797.143266353809
2014-01-18,0.09037144867600802,436.0,1803.3718828861818
2014-01-19,0.36422541689509585,517.7995590426184,946.6086731026886
2014-01-20,0.260603531484059,536.0,929.7563687163877
2014-01-21,0.10089117702105616,518.0,1134.9892972713992
2014-01-22,0.38848743748683967,500.0,1114.4238697721305
2014-01-23,0.4248297822059587,442.0,1158.2953094650436
2014-01-24,0.5668215042056202,460.1316298034525,289.59084465735884
2014-01-25,0.5389873493026082,542.0,305.65736276680883
2014-01-26,0.5758986866802802,524.0,200.81747714663229
2014-01-27,0.5274451788059049,506.0,332.74632045108547
2014-01-28,0.5543356414784134,448.0,363.3037382768818
2014-01-29,0.4091365493955355,434.61802357958976,647.439240730238
2014-01-30,0.264904110493382,548.0,1048.0061296252843
2014-01-31,0.4753246972343296,530.0,656.8782740781027
2014-02-01,0.058812341852746634,512.0,1696.651087718737
2014-02-02,0.33605324241699125,454.0,1208.4888452094067
2014-02-03,0.3516278757460213,436.0,780.6469872091114
2014-02-04,0.5836140008583566,513.4620182303435,462.22524653840344
2014-02-05,0.5384564848865285,536.0,446.8953505041569
2014-02-06,0.49511242100415104,518.0,478.864023738053
2014-02-07,0.642885338389618,500.0,107.09202395479049
2014-02-08,0.6011667549932599,442.0,327.0049475335957
2014-02-09,0.3784754747417772,578.2537372421141,1803.4781559661258
2014-02-10,0.5197887706632638,542.0,504.254294285188
2014-02-11,0.3918876791703808,524.0,976.2523086627284
2014-02-12,0.4867734830227999,506.0,600.1838060242212
2014-02-13,0.5752874210996402,448.0,372.9439842831618
2014-02-14,0.6049706535061243,431.0060070806769,431.0388956760957
2014-02-15,0.3638500369512178,554.0,768.1645634424842
2014-02-16,0.27445113830450285,530.0,896.5948700865441
2014-02-17,0.2381039017551675,512.0,917.9550925433224
2014-02-18,0.4660999139132877,454.0,641.3565816629757
2014-02-19,0.38201043890131814,436.0,859.6584611523126
2014-02-20,0.5488485720568518,461.06614442294426,532.5680248207657
2014-02-21,0.5896755560281421,536.0,309.7903320450599
2014-02-22,0.5849209720673252,518.0,294.67898313873127
2014-02-23,0.31517041893689973,500.0,860.2438646647169
2014-02-24,0.6398091972022723,442.0,239.44096709435772
2014-02-25,0.5520425149003382,490.34709147544,583.864822773719
2014-02-26,0.38239247737611626,546.0618093118969,834.3773760285903
2014-02-27,0.4804548706543872,524.0,492.25319990883406
2014-02-28,0.5305681338220577,506.0,401.03830572365564
2014-03-01,0.56744556997944,448.0,377.40054903481536
2014-03-02,0.5385248872673666,434.17585428282945,511.30141454947153
2014-03-03,0.5801856335907886,554.0,412.32437871544937
2014-03-04,0.45066251648163597,530.0,771.7040945080486
2014-03-05,0.4512570686664567,512.0,610.593869621483
2014-03-06,0.6071183155536344,454.0,258.0476440050093
2014-03-07,0.13013143834053548,436.0,1017.9011239225717
2014-03-08,0.5555619310598113,526.449709130268,477.75001166298085
2014-03-09,0.5534881908754526,536.0,429.19077076751665
2014-03-10,0.26884422312416184,518.0,892.4515061767625
2014-03-11,0.14744469981916186,500.0,1016.573673591076
2014-03-12,0.4009129582612058,442.0,769.744824187856
2014-03-13,0.607401297745734,485.41736428467067,225.28594858666548
2014-03-14,0.5229838259644746,548.0,458.4377959785066
2014-03-15,0.29598412660070894,524.0,832.8431454232765
2014-03-16,0.42150510747285364,506.0,572.8060196044981
2014-03-17,,,0.0
2014-03-18,0.45427550003180495,468.962534720664,552.1038583569871
2014-03-19,0.5576688044395187,554.0,283.4594295927726
2014-03-20,0.6060609802428285,531.1483024278557,107.90364434129198
2014-03-21,0.3735666334910318,512.0,637.9587829047915
2014-03-22,0.29339712087999037,454.0,933.1873902039716
2014-03-23,0.30936173237830866,436.0,883.0541072401355
2014-03-24,0.039542870776413414,466.07955691486063,1386.6274824532884
2014-03-25,0.17677670263188203,542.0,1338.056119590261
2014-03-26,0.44176143866548556,518.0,615.8763267247973
2014-03-27,0.3590593574419017,500.0,705.6487064053571
2014-03-28,0.5139290048867123,442.0,363.5278714865877
2014-03-29,0.4885509269363316,536.4920124597437,563.0003730938924
2014-03-30,0.5714324752319112,548.0,247.24043866414152
2014-03-31,0.4059052102079496,529.99765429382,683.6595996293122
2014-04-01,0.46675153752184034,506.0,504.3812816692446
2014-04-02,0.4131804283605953,448.0,724.6948146630887
2014-04-03,0.4183314007234506,457.3482822920252,727.1748322110152
2014-04-04,0.48997675308070177,554.0,457.62109211179103
2014-04-05,0.48871317223818467,536.0,438.57887260769184
2014-04-06,0.365115753336253,512.0,645.6016758002386
2014-04-07,0.46037578054509276,454.0,713.534541982601
2014-04-08,0.3134596139952321,436.0,871.7157754691559
2014-04-09,0.42005030790061537,519.2375597030383,711.8000908011637
2014-04-10,0.46640304914110503,542.0,480.2162411379572
2014-04-11,0.30157594684436173,524.0,849.5253181442439
2014-04-12,0.343420682136265,500.0,1023.7790827357276
2014-04-13,0.33130328280806226,442.0,893.0489240171383
2014-04-14,0.4037883396409043,492.39342217432926,900.6828848917258
2014-04-15,0.2928203414695231,548.0,1777.9126857025954
2014-04-16,0.21565726999610998,530.0,1803.384553742774
2014-04-17,0.3476943353764765,506.9560300642271,1341.4170590773704
2014-04-18,0.47677028038791014,448.0,533.7905150080709
2014-04-19,0.3524429607529413,430.0,914.9431566974907
2014-04-20,0.3238972398890316,554.0,863.875802741092
2014-04-21,0.45258908850722346,536.0,446.04907648631274
2014-04-22,0.48176087408705026,518.0,263.82028695306064
2014-04-23,0.4122030827625471,454.0,650.6464181528466
2014-04-24,0.37275193920557886,436.0,908.6007381451868
2014-04-25,0.08733843042090211,544.6310119559095,1687.0636095321538
2014-04-26,0.38228737634773946,542.0,919.8095943080765
2014-04-27,0.40883423752887893,524.0,578.8957545778422
2014-04-28,0.33721553881663124,502.97818507696064,686.260171698514
2014-04-29,0.34862869382530975,442.0,866.2604365453673
2014-04-30,0.40293788895863547,499.4222203019388,814.3335918627395
2014-05-01,0.3195536726516797,548.0,937.2791974217037
2014-05-02,0.3768341593015651,530.0,778.0735314484991
2014-05-03,0.36850603883958477,512.0,704.4387450535604
2014-05-04,0.2970158575169297,448.0,1030.9581192082985
2014-05-05,0.4657906611287741,432.10490258163657,487.3425422284946
2014-05-06,0.48212606906081257,554.0,478.2600013704001
2014-05-07,0.4565689256895055,536.0,492.8668637953376
2014-05-08,0.4349120588100844,518.0,524.7466651164629
2014-05-09,0.2791600031964581,491.27754686131425,1462.5280621034276
2014-05-10,0.3228825007086079,436.0,1305.09519519213
2014-05-11,0.27695251585645103,547.3090229897548,1803.4004737113999
2014-05-12,0.36746930839243086,542.0,846.4195334516149
2014-05-13,0.46852769279433104,524.0,376.3045368265907
2014-05-14,0.39359731702616985,506.0,624.9403681517045
2014-05-15,0.3929230685683534,442.0,751.6621816431492
2014-05-16,0.47042283659707634,521.2940998320496,740.8759051566409
2014-05-17,0.4698828352959575,548.0,569.9150813517209
2014-05-18,0.438504347911475,530.0,486.9947652655052
2014-05-19,0.4196090333744741,512.0,621.8303224619784
2014-05-20,0.4730398461507808,452.8817085051916,469.2002373416562
2014-05-21,0.40815273535725666,430.02327546788564,871.302067676389
2014-05-22,0.3795667061665745,554.0,534.9263170542417
2014-05-23,0.3907478693868761,536.0,810.121296456932
2014-05-24,0.4043557720952114,518.0,699.4717853059091
2014-05-25,0.33954605127639065,500.0,869.9513496984392
2014-05-26,0.42915802430870736,436.0,847.3622101445576
2014-05-27,0.2112035203512893,502.29676258638,1533.5450397586158
2014-05-28,0.4091267248965658,542.0,274.3622326200934
2014-05-29,0.46412683034234153,524.0,600.033997953147
